traceID,order,structtype,method1,method2,m1_para,m2_para,class1,class2,m1_return,m2_return
5,11,null,path.ShoppingBean.performRecalculate,path.ShoppingBean.performCart,null,null,ShoppingBean,ShoppingBean,null,null
5,12,null,path.ShoppingBean.performCart,path.ShoppingCartBean.getItems,null,null,ShoppingBean,ShoppingCartBean,null,null
5,13,null,path.ShoppingBean.performCart,path.ShoppingBean.wrapInventoryItems,null,null,ShoppingBean,ShoppingBean,null,null
5,14,null,path.ShoppingBean.wrapInventoryItems,path.ShoppingItem.ShoppingItem [overloaded_#002],null,null,ShoppingBean,ShoppingItem,null,null
5,15,null,path.ShoppingBean.wrapInventoryItems,path.ShoppingItem.ShoppingItem [overloaded_#002],null,null,ShoppingBean,ShoppingItem,null,null
5,16,null,path.ShoppingCartBean.getSize,path.ShoppingCartBean.getItems,null,null,ShoppingCartBean,ShoppingCartBean,null,null
5,17,null,path.ShoppingCartBean.getSize,path.ShoppingCartBean.getItems,null,null,ShoppingCartBean,ShoppingCartBean,null,null
5,18,null,path.ShoppingCartBean.getSize,path.ShoppingCartBean.getItems,null,null,ShoppingCartBean,ShoppingCartBean,null,null
5,19,null,path.ShoppingCartBean.getSize,path.ShoppingCartBean.getItems,null,null,ShoppingCartBean,ShoppingCartBean,null,null
5,20,null,path.ShoppingCartBean.getSize,path.ShoppingCartBean.getItems,null,null,ShoppingCartBean,ShoppingCartBean,null,null
5,21,null,path.ShoppingCartBean.getSubtotalCost,path.Inventory.getPrice,null,null,ShoppingCartBean,Inventory,null,null
5,22,null,path.ShoppingCartBean.getSubtotalCost,path.Inventory.getQuantity,null,null,ShoppingCartBean,Inventory,null,null
5,23,null,path.ShoppingCartBean.getSubtotalCost,path.Inventory.getPrice,null,null,ShoppingCartBean,Inventory,null,null
5,24,null,path.ShoppingCartBean.getSubtotalCost,path.Inventory.getQuantity,null,null,ShoppingCartBean,Inventory,null,null
5,25,null,path.ShoppingItem.getID,path.Inventory.getID,null,null,ShoppingItem,Inventory,null,null
5,26,null,path.ShoppingItem.getName,path.Inventory.getName,null,null,ShoppingItem,Inventory,null,null
5,27,null,path.ShoppingItem.getPkginfo,path.Inventory.getPkginfo,null,null,ShoppingItem,Inventory,null,null
5,28,null,path.ShoppingItem.getQuantity,path.Inventory.getQuantity,null,null,ShoppingItem,Inventory,null,null
5,29,null,path.ShoppingItem.getPrice,path.Inventory.getPrice,null,null,ShoppingItem,Inventory,null,null
5,30,null,path.ShoppingItem.getSubtotalPrice,path.ShoppingItem.getPrice,null,null,ShoppingItem,ShoppingItem,null,null
5,31,null,path.ShoppingItem.getPrice,path.Inventory.getPrice,null,null,ShoppingItem,Inventory,null,null
