1589168186986,sell_stock_1,TradeConfig returns to DTStreamer3MDB,daytrader7/daytrader-ee7-ejb/src/main/java/com/ibm/websphere/samples/daytrader/util/TradeConfig.java:TradeConfig:getPercentSentToWebsocket,daytrader7/daytrader-ee7-ejb/src/main/java/com/ibm/websphere/samples/daytrader/ejb3/DTStreamer3MDB.java:DTStreamer3MDB:onMessage
1589168186986,sell_stock_1,DTStreamer3MDB calls MarketSummaryWebSocket,daytrader7/daytrader-ee7-ejb/src/main/java/com/ibm/websphere/samples/daytrader/ejb3/DTStreamer3MDB.java:DTStreamer3MDB:onMessage,daytrader7/daytrader-ee7-web/src/main/java/com/ibm/websphere/samples/daytrader/web/websocket/MarketSummaryWebSocket.java:MarketSummaryWebSocket:onJMSMessage
1589168186987,sell_stock_1,MarketSummaryWebSocket calls Log,daytrader7/daytrader-ee7-web/src/main/java/com/ibm/websphere/samples/daytrader/web/websocket/MarketSummaryWebSocket.java:MarketSummaryWebSocket:onJMSMessage,daytrader7/daytrader-ee7-ejb/src/main/java/com/ibm/websphere/samples/daytrader/util/Log.java:Log:doTrace
1589168186987,sell_stock_1,Log calls Log,daytrader7/daytrader-ee7-ejb/src/main/java/com/ibm/websphere/samples/daytrader/util/Log.java:Log:doTrace,daytrader7/daytrader-ee7-ejb/src/main/java/com/ibm/websphere/samples/daytrader/util/Log.java:Log:getTrace
1589168186988,sell_stock_1,Log calls TradeConfig,daytrader7/daytrader-ee7-ejb/src/main/java/com/ibm/websphere/samples/daytrader/util/Log.java:Log:getTrace,daytrader7/daytrader-ee7-ejb/src/main/java/com/ibm/websphere/samples/daytrader/util/TradeConfig.java:TradeConfig:getTrace
1589168186988,sell_stock_1,TradeConfig returns to Log,daytrader7/daytrader-ee7-ejb/src/main/java/com/ibm/websphere/samples/daytrader/util/TradeConfig.java:TradeConfig:getTrace,daytrader7/daytrader-ee7-ejb/src/main/java/com/ibm/websphere/samples/daytrader/util/Log.java:Log:getTrace
1589168186988,sell_stock_1,Log returns to Log,daytrader7/daytrader-ee7-ejb/src/main/java/com/ibm/websphere/samples/daytrader/util/Log.java:Log:getTrace,daytrader7/daytrader-ee7-ejb/src/main/java/com/ibm/websphere/samples/daytrader/util/Log.java:Log:doTrace
1589168186988,sell_stock_1,Log returns to MarketSummaryWebSocket,daytrader7/daytrader-ee7-ejb/src/main/java/com/ibm/websphere/samples/daytrader/util/Log.java:Log:doTrace,daytrader7/daytrader-ee7-web/src/main/java/com/ibm/websphere/samples/daytrader/web/websocket/MarketSummaryWebSocket.java:MarketSummaryWebSocket:onJMSMessage
1589168186989,sell_stock_1,MarketSummaryWebSocket calls RecentStockChangeList,daytrader7/daytrader-ee7-web/src/main/java/com/ibm/websphere/samples/daytrader/web/websocket/MarketSummaryWebSocket.java:MarketSummaryWebSocket:onJMSMessage,daytrader7/daytrader-ee7-web/src/main/java/com/ibm/websphere/samples/daytrader/web/websocket/RecentStockChangeList.java:RecentStockChangeList:addStockChange
1589168186989,sell_stock_1,RecentStockChangeList returns to MarketSummaryWebSocket,daytrader7/daytrader-ee7-web/src/main/java/com/ibm/websphere/samples/daytrader/web/websocket/RecentStockChangeList.java:RecentStockChangeList:addStockChange,daytrader7/daytrader-ee7-web/src/main/java/com/ibm/websphere/samples/daytrader/web/websocket/MarketSummaryWebSocket.java:MarketSummaryWebSocket:onJMSMessage
1589168186989,sell_stock_1,MarketSummaryWebSocket calls RecentStockChangeList,daytrader7/daytrader-ee7-web/src/main/java/com/ibm/websphere/samples/daytrader/web/websocket/MarketSummaryWebSocket.java:MarketSummaryWebSocket:onJMSMessage,daytrader7/daytrader-ee7-web/src/main/java/com/ibm/websphere/samples/daytrader/web/websocket/RecentStockChangeList.java:RecentStockChangeList:stockChangesInJSON
1589168186992,sell_stock_1,RecentStockChangeList returns to MarketSummaryWebSocket,daytrader7/daytrader-ee7-web/src/main/java/com/ibm/websphere/samples/daytrader/web/websocket/RecentStockChangeList.java:RecentStockChangeList:stockChangesInJSON,daytrader7/daytrader-ee7-web/src/main/java/com/ibm/websphere/samples/daytrader/web/websocket/MarketSummaryWebSocket.java:MarketSummaryWebSocket:onJMSMessage
1589168186992,sell_stock_1,MarketSummaryWebSocket returns to DTStreamer3MDB,daytrader7/daytrader-ee7-web/src/main/java/com/ibm/websphere/samples/daytrader/web/websocket/MarketSummaryWebSocket.java:MarketSummaryWebSocket:onJMSMessage,daytrader7/daytrader-ee7-ejb/src/main/java/com/ibm/websphere/samples/daytrader/ejb3/DTStreamer3MDB.java:DTStreamer3MDB:onMessage
1589168186992,sell_stock_1,DTStreamer3MDB returns to Root,daytrader7/daytrader-ee7-ejb/src/main/java/com/ibm/websphere/samples/daytrader/ejb3/DTStreamer3MDB.java:DTStreamer3MDB:onMessage,<None>:Root:<None>
