1589149369550,click_config_env,AuthServiceImpl returns to ServiceLocator,acmeair/src/main/java/com/acmeair/mongo/services/AuthServiceImpl.java:AuthServiceImpl:initialization,acmeair/src/main/java/com/acmeair/service/ServiceLocator.java:ServiceLocator:getService
1589149369551,click_config_env,ServiceLocator returns to Root,acmeair/src/main/java/com/acmeair/service/ServiceLocator.java:ServiceLocator:getService,<None>:Root:<None>
1589149369553,click_config_env,Root calls ServiceLocator,<None>:Root:<None>,acmeair/src/main/java/com/acmeair/service/ServiceLocator.java:ServiceLocator:instance
1589149369554,click_config_env,ServiceLocator returns to Root,acmeair/src/main/java/com/acmeair/service/ServiceLocator.java:ServiceLocator:instance,<None>:Root:<None>
1589149369555,click_config_env,Root calls ServiceLocator,<None>:Root:<None>,acmeair/src/main/java/com/acmeair/service/ServiceLocator.java:ServiceLocator:getService
1589149369568,click_config_env,ServiceLocator calls FlightService,acmeair/src/main/java/com/acmeair/service/ServiceLocator.java:ServiceLocator:getService,acmeair/src/main/java/com/acmeair/service/FlightService.java:FlightService:FlightService
1589149369570,click_config_env,FlightService returns to ServiceLocator,acmeair/src/main/java/com/acmeair/service/FlightService.java:FlightService:FlightService,acmeair/src/main/java/com/acmeair/service/ServiceLocator.java:ServiceLocator:getService
1589149369571,click_config_env,ServiceLocator calls FlightServiceImpl,acmeair/src/main/java/com/acmeair/service/ServiceLocator.java:ServiceLocator:getService,acmeair/src/main/java/com/acmeair/mongo/services/FlightServiceImpl.java:FlightServiceImpl:initialization
1589149369582,click_config_env,FlightServiceImpl calls ConnectionManager,acmeair/src/main/java/com/acmeair/mongo/services/FlightServiceImpl.java:FlightServiceImpl:initialization,acmeair/src/main/java/com/acmeair/mongo/ConnectionManager.java:ConnectionManager:getConnectionManager
1589149369587,click_config_env,ConnectionManager returns to FlightServiceImpl,acmeair/src/main/java/com/acmeair/mongo/ConnectionManager.java:ConnectionManager:getConnectionManager,acmeair/src/main/java/com/acmeair/mongo/services/FlightServiceImpl.java:FlightServiceImpl:initialization
1589149369588,click_config_env,FlightServiceImpl calls ConnectionManager,acmeair/src/main/java/com/acmeair/mongo/services/FlightServiceImpl.java:FlightServiceImpl:initialization,acmeair/src/main/java/com/acmeair/mongo/ConnectionManager.java:ConnectionManager:getDB
1589149369589,click_config_env,ConnectionManager returns to FlightServiceImpl,acmeair/src/main/java/com/acmeair/mongo/ConnectionManager.java:ConnectionManager:getDB,acmeair/src/main/java/com/acmeair/mongo/services/FlightServiceImpl.java:FlightServiceImpl:initialization
1589149369598,click_config_env,FlightServiceImpl returns to ServiceLocator,acmeair/src/main/java/com/acmeair/mongo/services/FlightServiceImpl.java:FlightServiceImpl:initialization,acmeair/src/main/java/com/acmeair/service/ServiceLocator.java:ServiceLocator:getService
1589149369617,click_config_env,ServiceLocator returns to Root,acmeair/src/main/java/com/acmeair/service/ServiceLocator.java:ServiceLocator:getService,<None>:Root:<None>
1589149369618,click_config_env,Root calls AcmeAirConfiguration,<None>:Root:<None>,acmeair/src/main/java/com/acmeair/config/AcmeAirConfiguration.java:AcmeAirConfiguration:AcmeAirConfiguration
1589149369619,click_config_env,AcmeAirConfiguration returns to Root,acmeair/src/main/java/com/acmeair/config/AcmeAirConfiguration.java:AcmeAirConfiguration:AcmeAirConfiguration,<None>:Root:<None>
1589149369620,click_config_env,Root calls ServiceLocator,<None>:Root:<None>,acmeair/src/main/java/com/acmeair/service/ServiceLocator.java:ServiceLocator:instance
1589149369621,click_config_env,ServiceLocator returns to Root,acmeair/src/main/java/com/acmeair/service/ServiceLocator.java:ServiceLocator:instance,<None>:Root:<None>
1589149369621,click_config_env,Root calls ServiceLocator,<None>:Root:<None>,acmeair/src/main/java/com/acmeair/service/ServiceLocator.java:ServiceLocator:getService
1589149369622,click_config_env,ServiceLocator calls BookingServiceImpl,acmeair/src/main/java/com/acmeair/service/ServiceLocator.java:ServiceLocator:getService,acmeair/src/main/java/com/acmeair/mongo/services/BookingServiceImpl.java:BookingServiceImpl:initialization
1589149369623,click_config_env,BookingServiceImpl calls ConnectionManager,acmeair/src/main/java/com/acmeair/mongo/services/BookingServiceImpl.java:BookingServiceImpl:initialization,acmeair/src/main/java/com/acmeair/mongo/ConnectionManager.java:ConnectionManager:getConnectionManager
1589149369624,click_config_env,ConnectionManager returns to BookingServiceImpl,acmeair/src/main/java/com/acmeair/mongo/ConnectionManager.java:ConnectionManager:getConnectionManager,acmeair/src/main/java/com/acmeair/mongo/services/BookingServiceImpl.java:BookingServiceImpl:initialization
1589149369627,click_config_env,BookingServiceImpl calls ConnectionManager,acmeair/src/main/java/com/acmeair/mongo/services/BookingServiceImpl.java:BookingServiceImpl:initialization,acmeair/src/main/java/com/acmeair/mongo/ConnectionManager.java:ConnectionManager:getDB
