1589150141100,login_1,AuthServiceImpl calls ConnectionManager,acmeair/src/main/java/com/acmeair/mongo/services/AuthServiceImpl.java:AuthServiceImpl:initialization,acmeair/src/main/java/com/acmeair/mongo/ConnectionManager.java:ConnectionManager:getConnectionManager
1589150141100,login_1,ConnectionManager returns to AuthServiceImpl,acmeair/src/main/java/com/acmeair/mongo/ConnectionManager.java:ConnectionManager:getConnectionManager,acmeair/src/main/java/com/acmeair/mongo/services/AuthServiceImpl.java:AuthServiceImpl:initialization
1589150141100,login_1,AuthServiceImpl calls ConnectionManager,acmeair/src/main/java/com/acmeair/mongo/services/AuthServiceImpl.java:AuthServiceImpl:initialization,acmeair/src/main/java/com/acmeair/mongo/ConnectionManager.java:ConnectionManager:getDB
1589150141101,login_1,ConnectionManager returns to AuthServiceImpl,acmeair/src/main/java/com/acmeair/mongo/ConnectionManager.java:ConnectionManager:getDB,acmeair/src/main/java/com/acmeair/mongo/services/AuthServiceImpl.java:AuthServiceImpl:initialization
1589150141101,login_1,AuthServiceImpl returns to ServiceLocator,acmeair/src/main/java/com/acmeair/mongo/services/AuthServiceImpl.java:AuthServiceImpl:initialization,acmeair/src/main/java/com/acmeair/service/ServiceLocator.java:ServiceLocator:getService
1589150141102,login_1,ServiceLocator returns to RESTCookieSessionFilter,acmeair/src/main/java/com/acmeair/service/ServiceLocator.java:ServiceLocator:getService,acmeair/src/main/java/com/acmeair/web/RESTCookieSessionFilter.java:RESTCookieSessionFilter:doFilter
1589150141102,login_1,RESTCookieSessionFilter calls ServiceLocator,acmeair/src/main/java/com/acmeair/web/RESTCookieSessionFilter.java:RESTCookieSessionFilter:doFilter,acmeair/src/main/java/com/acmeair/service/ServiceLocator.java:ServiceLocator:instance
1589150141102,login_1,ServiceLocator returns to RESTCookieSessionFilter,acmeair/src/main/java/com/acmeair/service/ServiceLocator.java:ServiceLocator:instance,acmeair/src/main/java/com/acmeair/web/RESTCookieSessionFilter.java:RESTCookieSessionFilter:doFilter
1589150141102,login_1,RESTCookieSessionFilter calls ServiceLocator,acmeair/src/main/java/com/acmeair/web/RESTCookieSessionFilter.java:RESTCookieSessionFilter:doFilter,acmeair/src/main/java/com/acmeair/service/ServiceLocator.java:ServiceLocator:getService
1589150141103,login_1,ServiceLocator calls CustomerServiceImpl,acmeair/src/main/java/com/acmeair/service/ServiceLocator.java:ServiceLocator:getService,acmeair/src/main/java/com/acmeair/mongo/services/CustomerServiceImpl.java:CustomerServiceImpl:initialization
1589150141103,login_1,CustomerServiceImpl calls ConnectionManager,acmeair/src/main/java/com/acmeair/mongo/services/CustomerServiceImpl.java:CustomerServiceImpl:initialization,acmeair/src/main/java/com/acmeair/mongo/ConnectionManager.java:ConnectionManager:getConnectionManager
1589150141103,login_1,ConnectionManager returns to CustomerServiceImpl,acmeair/src/main/java/com/acmeair/mongo/ConnectionManager.java:ConnectionManager:getConnectionManager,acmeair/src/main/java/com/acmeair/mongo/services/CustomerServiceImpl.java:CustomerServiceImpl:initialization
1589150141104,login_1,CustomerServiceImpl calls ConnectionManager,acmeair/src/main/java/com/acmeair/mongo/services/CustomerServiceImpl.java:CustomerServiceImpl:initialization,acmeair/src/main/java/com/acmeair/mongo/ConnectionManager.java:ConnectionManager:getDB
1589150141104,login_1,ConnectionManager returns to CustomerServiceImpl,acmeair/src/main/java/com/acmeair/mongo/ConnectionManager.java:ConnectionManager:getDB,acmeair/src/main/java/com/acmeair/mongo/services/CustomerServiceImpl.java:CustomerServiceImpl:initialization
1589150141104,login_1,CustomerServiceImpl returns to ServiceLocator,acmeair/src/main/java/com/acmeair/mongo/services/CustomerServiceImpl.java:CustomerServiceImpl:initialization,acmeair/src/main/java/com/acmeair/service/ServiceLocator.java:ServiceLocator:getService
1589150141104,login_1,ServiceLocator returns to RESTCookieSessionFilter,acmeair/src/main/java/com/acmeair/service/ServiceLocator.java:ServiceLocator:getService,acmeair/src/main/java/com/acmeair/web/RESTCookieSessionFilter.java:RESTCookieSessionFilter:doFilter
1589150141105,login_1,RESTCookieSessionFilter calls LoginREST,acmeair/src/main/java/com/acmeair/web/RESTCookieSessionFilter.java:RESTCookieSessionFilter:doFilter,acmeair/src/main/java/com/acmeair/web/LoginREST.java:LoginREST:login
1589150141105,login_1,LoginREST calls CustomerService,acmeair/src/main/java/com/acmeair/web/LoginREST.java:LoginREST:login,acmeair/src/main/java/com/acmeair/service/CustomerService.java:CustomerService:validateCustomer
1589150141105,login_1,CustomerService calls CustomerServiceImpl,acmeair/src/main/java/com/acmeair/service/CustomerService.java:CustomerService:validateCustomer,acmeair/src/main/java/com/acmeair/mongo/services/CustomerServiceImpl.java:CustomerServiceImpl:getCustomer
1589150141109,login_1,CustomerServiceImpl returns to CustomerService,acmeair/src/main/java/com/acmeair/mongo/services/CustomerServiceImpl.java:CustomerServiceImpl:getCustomer,acmeair/src/main/java/com/acmeair/service/CustomerService.java:CustomerService:validateCustomer
1589150141110,login_1,CustomerService returns to LoginREST,acmeair/src/main/java/com/acmeair/service/CustomerService.java:CustomerService:validateCustomer,acmeair/src/main/java/com/acmeair/web/LoginREST.java:LoginREST:login
1589150141110,login_1,LoginREST calls AuthService,acmeair/src/main/java/com/acmeair/web/LoginREST.java:LoginREST:login,acmeair/src/main/java/com/acmeair/service/AuthService.java:AuthService:createSession
1589150141111,login_1,AuthService calls KeyGenerator,acmeair/src/main/java/com/acmeair/service/AuthService.java:AuthService:createSession,acmeair/src/main/java/com/acmeair/service/KeyGenerator.java:KeyGenerator:generate
1589150141111,login_1,KeyGenerator returns to AuthService,acmeair/src/main/java/com/acmeair/service/KeyGenerator.java:KeyGenerator:generate,acmeair/src/main/java/com/acmeair/service/AuthService.java:AuthService:createSession
1589150141111,login_1,AuthService calls AuthServiceImpl,acmeair/src/main/java/com/acmeair/service/AuthService.java:AuthService:createSession,acmeair/src/main/java/com/acmeair/mongo/services/AuthServiceImpl.java:AuthServiceImpl:createSession
1589150141114,login_1,AuthServiceImpl returns to AuthService,acmeair/src/main/java/com/acmeair/mongo/services/AuthServiceImpl.java:AuthServiceImpl:createSession,acmeair/src/main/java/com/acmeair/service/AuthService.java:AuthService:createSession
1589150141115,login_1,AuthService returns to LoginREST,acmeair/src/main/java/com/acmeair/service/AuthService.java:AuthService:createSession,acmeair/src/main/java/com/acmeair/web/LoginREST.java:LoginREST:login
1589150141117,login_1,LoginREST returns to RESTCookieSessionFilter,acmeair/src/main/java/com/acmeair/web/LoginREST.java:LoginREST:login,acmeair/src/main/java/com/acmeair/web/RESTCookieSessionFilter.java:RESTCookieSessionFilter:doFilter
1589150141142,login_1,RESTCookieSessionFilter returns to Root,acmeair/src/main/java/com/acmeair/web/RESTCookieSessionFilter.java:RESTCookieSessionFilter:doFilter,<None>:Root:<None>
