1589149578605,find_flights,ConnectionManager returns to FlightServiceImpl,acmeair/src/main/java/com/acmeair/mongo/ConnectionManager.java:ConnectionManager:getDB,acmeair/src/main/java/com/acmeair/mongo/services/FlightServiceImpl.java:FlightServiceImpl:initialization
1589149578605,find_flights,FlightServiceImpl returns to ServiceLocator,acmeair/src/main/java/com/acmeair/mongo/services/FlightServiceImpl.java:FlightServiceImpl:initialization,acmeair/src/main/java/com/acmeair/service/ServiceLocator.java:ServiceLocator:getService
1589149578605,find_flights,ServiceLocator returns to RESTCookieSessionFilter,acmeair/src/main/java/com/acmeair/service/ServiceLocator.java:ServiceLocator:getService,acmeair/src/main/java/com/acmeair/web/RESTCookieSessionFilter.java:RESTCookieSessionFilter:doFilter
1589149578606,find_flights,RESTCookieSessionFilter calls FlightsREST,acmeair/src/main/java/com/acmeair/web/RESTCookieSessionFilter.java:RESTCookieSessionFilter:doFilter,acmeair/src/main/java/com/acmeair/web/FlightsREST.java:FlightsREST:getTripFlights
1589149578606,find_flights,FlightsREST calls FlightService,acmeair/src/main/java/com/acmeair/web/FlightsREST.java:FlightsREST:getTripFlights,acmeair/src/main/java/com/acmeair/service/FlightService.java:FlightService:getFlightByAirportsAndDepartureDate
1589149578606,find_flights,FlightService calls FlightServiceImpl,acmeair/src/main/java/com/acmeair/service/FlightService.java:FlightService:getFlightByAirportsAndDepartureDate,acmeair/src/main/java/com/acmeair/mongo/services/FlightServiceImpl.java:FlightServiceImpl:getFlightSegment
1589149578657,find_flights,FlightServiceImpl returns to FlightService,acmeair/src/main/java/com/acmeair/mongo/services/FlightServiceImpl.java:FlightServiceImpl:getFlightSegment,acmeair/src/main/java/com/acmeair/service/FlightService.java:FlightService:getFlightByAirportsAndDepartureDate
1589149578658,find_flights,FlightService calls FlightServiceImpl,acmeair/src/main/java/com/acmeair/service/FlightService.java:FlightService:getFlightByAirportsAndDepartureDate,acmeair/src/main/java/com/acmeair/mongo/services/FlightServiceImpl.java:FlightServiceImpl:getFlightBySegment
1589149578664,find_flights,FlightServiceImpl returns to FlightService,acmeair/src/main/java/com/acmeair/mongo/services/FlightServiceImpl.java:FlightServiceImpl:getFlightBySegment,acmeair/src/main/java/com/acmeair/service/FlightService.java:FlightService:getFlightByAirportsAndDepartureDate
1589149578665,find_flights,FlightService returns to FlightsREST,acmeair/src/main/java/com/acmeair/service/FlightService.java:FlightService:getFlightByAirportsAndDepartureDate,acmeair/src/main/java/com/acmeair/web/FlightsREST.java:FlightsREST:getTripFlights
1589149578665,find_flights,FlightsREST calls FlightService,acmeair/src/main/java/com/acmeair/web/FlightsREST.java:FlightsREST:getTripFlights,acmeair/src/main/java/com/acmeair/service/FlightService.java:FlightService:getFlightByAirportsAndDepartureDate
1589149578666,find_flights,FlightService calls FlightServiceImpl,acmeair/src/main/java/com/acmeair/service/FlightService.java:FlightService:getFlightByAirportsAndDepartureDate,acmeair/src/main/java/com/acmeair/mongo/services/FlightServiceImpl.java:FlightServiceImpl:getFlightSegment
1589149578668,find_flights,FlightServiceImpl returns to FlightService,acmeair/src/main/java/com/acmeair/mongo/services/FlightServiceImpl.java:FlightServiceImpl:getFlightSegment,acmeair/src/main/java/com/acmeair/service/FlightService.java:FlightService:getFlightByAirportsAndDepartureDate
1589149578668,find_flights,FlightService calls FlightServiceImpl,acmeair/src/main/java/com/acmeair/service/FlightService.java:FlightService:getFlightByAirportsAndDepartureDate,acmeair/src/main/java/com/acmeair/mongo/services/FlightServiceImpl.java:FlightServiceImpl:getFlightBySegment
1589149578672,find_flights,FlightServiceImpl returns to FlightService,acmeair/src/main/java/com/acmeair/mongo/services/FlightServiceImpl.java:FlightServiceImpl:getFlightBySegment,acmeair/src/main/java/com/acmeair/service/FlightService.java:FlightService:getFlightByAirportsAndDepartureDate
1589149578672,find_flights,FlightService returns to FlightsREST,acmeair/src/main/java/com/acmeair/service/FlightService.java:FlightService:getFlightByAirportsAndDepartureDate,acmeair/src/main/java/com/acmeair/web/FlightsREST.java:FlightsREST:getTripFlights
1589149578672,find_flights,FlightsREST returns to RESTCookieSessionFilter,acmeair/src/main/java/com/acmeair/web/FlightsREST.java:FlightsREST:getTripFlights,acmeair/src/main/java/com/acmeair/web/RESTCookieSessionFilter.java:RESTCookieSessionFilter:doFilter
1589149578675,find_flights,RESTCookieSessionFilter returns to Root,acmeair/src/main/java/com/acmeair/web/RESTCookieSessionFilter.java:RESTCookieSessionFilter:doFilter,<None>:Root:<None>
