1589149685638,book_selected_flight,RESTCookieSessionFilter calls BookingsREST,acmeair/src/main/java/com/acmeair/web/RESTCookieSessionFilter.java:RESTCookieSessionFilter:doFilter,acmeair/src/main/java/com/acmeair/web/BookingsREST.java:BookingsREST:bookFlights
1589149685639,book_selected_flight,BookingsREST calls BookingServiceImpl,acmeair/src/main/java/com/acmeair/web/BookingsREST.java:BookingsREST:bookFlights,acmeair/src/main/java/com/acmeair/mongo/services/BookingServiceImpl.java:BookingServiceImpl:bookFlight [overloaded_#002]
1589149685639,book_selected_flight,BookingServiceImpl calls BookingServiceImpl,acmeair/src/main/java/com/acmeair/mongo/services/BookingServiceImpl.java:BookingServiceImpl:bookFlight [overloaded_#002],acmeair/src/main/java/com/acmeair/mongo/services/BookingServiceImpl.java:BookingServiceImpl:bookFlight [overloaded_#001]
1589149685639,book_selected_flight,BookingServiceImpl calls KeyGenerator,acmeair/src/main/java/com/acmeair/mongo/services/BookingServiceImpl.java:BookingServiceImpl:bookFlight [overloaded_#001],acmeair/src/main/java/com/acmeair/service/KeyGenerator.java:KeyGenerator:generate
1589149685640,book_selected_flight,KeyGenerator returns to BookingServiceImpl,acmeair/src/main/java/com/acmeair/service/KeyGenerator.java:KeyGenerator:generate,acmeair/src/main/java/com/acmeair/mongo/services/BookingServiceImpl.java:BookingServiceImpl:bookFlight [overloaded_#001]
1589149685643,book_selected_flight,BookingServiceImpl returns to BookingServiceImpl,acmeair/src/main/java/com/acmeair/mongo/services/BookingServiceImpl.java:BookingServiceImpl:bookFlight [overloaded_#001],acmeair/src/main/java/com/acmeair/mongo/services/BookingServiceImpl.java:BookingServiceImpl:bookFlight [overloaded_#002]
1589149685644,book_selected_flight,BookingServiceImpl returns to BookingsREST,acmeair/src/main/java/com/acmeair/mongo/services/BookingServiceImpl.java:BookingServiceImpl:bookFlight [overloaded_#002],acmeair/src/main/java/com/acmeair/web/BookingsREST.java:BookingsREST:bookFlights
1589149685644,book_selected_flight,BookingsREST calls BookingServiceImpl,acmeair/src/main/java/com/acmeair/web/BookingsREST.java:BookingsREST:bookFlights,acmeair/src/main/java/com/acmeair/mongo/services/BookingServiceImpl.java:BookingServiceImpl:bookFlight [overloaded_#002]
1589149685644,book_selected_flight,BookingServiceImpl calls BookingServiceImpl,acmeair/src/main/java/com/acmeair/mongo/services/BookingServiceImpl.java:BookingServiceImpl:bookFlight [overloaded_#002],acmeair/src/main/java/com/acmeair/mongo/services/BookingServiceImpl.java:BookingServiceImpl:bookFlight [overloaded_#001]
1589149685645,book_selected_flight,BookingServiceImpl calls KeyGenerator,acmeair/src/main/java/com/acmeair/mongo/services/BookingServiceImpl.java:BookingServiceImpl:bookFlight [overloaded_#001],acmeair/src/main/java/com/acmeair/service/KeyGenerator.java:KeyGenerator:generate
1589149685645,book_selected_flight,KeyGenerator returns to BookingServiceImpl,acmeair/src/main/java/com/acmeair/service/KeyGenerator.java:KeyGenerator:generate,acmeair/src/main/java/com/acmeair/mongo/services/BookingServiceImpl.java:BookingServiceImpl:bookFlight [overloaded_#001]
1589149685647,book_selected_flight,BookingServiceImpl returns to BookingServiceImpl,acmeair/src/main/java/com/acmeair/mongo/services/BookingServiceImpl.java:BookingServiceImpl:bookFlight [overloaded_#001],acmeair/src/main/java/com/acmeair/mongo/services/BookingServiceImpl.java:BookingServiceImpl:bookFlight [overloaded_#002]
1589149685647,book_selected_flight,BookingServiceImpl returns to BookingsREST,acmeair/src/main/java/com/acmeair/mongo/services/BookingServiceImpl.java:BookingServiceImpl:bookFlight [overloaded_#002],acmeair/src/main/java/com/acmeair/web/BookingsREST.java:BookingsREST:bookFlights
1589149685648,book_selected_flight,BookingsREST returns to RESTCookieSessionFilter,acmeair/src/main/java/com/acmeair/web/BookingsREST.java:BookingsREST:bookFlights,acmeair/src/main/java/com/acmeair/web/RESTCookieSessionFilter.java:RESTCookieSessionFilter:doFilter
1589149685654,book_selected_flight,RESTCookieSessionFilter returns to Root,acmeair/src/main/java/com/acmeair/web/RESTCookieSessionFilter.java:RESTCookieSessionFilter:doFilter,<None>:Root:<None>
