1589149633561,Unknown,ConnectionManager returns to FlightServiceImpl,acmeair/src/main/java/com/acmeair/mongo/ConnectionManager.java:ConnectionManager:getDB,acmeair/src/main/java/com/acmeair/mongo/services/FlightServiceImpl.java:FlightServiceImpl:initialization
1589149633561,Unknown,FlightServiceImpl returns to ServiceLocator,acmeair/src/main/java/com/acmeair/mongo/services/FlightServiceImpl.java:FlightServiceImpl:initialization,acmeair/src/main/java/com/acmeair/service/ServiceLocator.java:ServiceLocator:getService
1589149633562,Unknown,ServiceLocator returns to RESTCookieSessionFilter,acmeair/src/main/java/com/acmeair/service/ServiceLocator.java:ServiceLocator:getService,acmeair/src/main/java/com/acmeair/web/RESTCookieSessionFilter.java:RESTCookieSessionFilter:doFilter
1589149633562,Unknown,RESTCookieSessionFilter calls FlightsREST,acmeair/src/main/java/com/acmeair/web/RESTCookieSessionFilter.java:RESTCookieSessionFilter:doFilter,acmeair/src/main/java/com/acmeair/web/FlightsREST.java:FlightsREST:getTripFlights
1589149633562,Unknown,FlightsREST calls FlightService,acmeair/src/main/java/com/acmeair/web/FlightsREST.java:FlightsREST:getTripFlights,acmeair/src/main/java/com/acmeair/service/FlightService.java:FlightService:getFlightByAirportsAndDepartureDate
1589149633563,Unknown,FlightService calls FlightServiceImpl,acmeair/src/main/java/com/acmeair/service/FlightService.java:FlightService:getFlightByAirportsAndDepartureDate,acmeair/src/main/java/com/acmeair/mongo/services/FlightServiceImpl.java:FlightServiceImpl:getFlightBySegment
1589149633568,Unknown,FlightServiceImpl returns to FlightService,acmeair/src/main/java/com/acmeair/mongo/services/FlightServiceImpl.java:FlightServiceImpl:getFlightBySegment,acmeair/src/main/java/com/acmeair/service/FlightService.java:FlightService:getFlightByAirportsAndDepartureDate
1589149633568,Unknown,FlightService returns to FlightsREST,acmeair/src/main/java/com/acmeair/service/FlightService.java:FlightService:getFlightByAirportsAndDepartureDate,acmeair/src/main/java/com/acmeair/web/FlightsREST.java:FlightsREST:getTripFlights
1589149633569,Unknown,FlightsREST calls FlightService,acmeair/src/main/java/com/acmeair/web/FlightsREST.java:FlightsREST:getTripFlights,acmeair/src/main/java/com/acmeair/service/FlightService.java:FlightService:getFlightByAirportsAndDepartureDate
1589149633569,Unknown,FlightService calls FlightServiceImpl,acmeair/src/main/java/com/acmeair/service/FlightService.java:FlightService:getFlightByAirportsAndDepartureDate,acmeair/src/main/java/com/acmeair/mongo/services/FlightServiceImpl.java:FlightServiceImpl:getFlightBySegment
1589149633575,Unknown,FlightServiceImpl returns to FlightService,acmeair/src/main/java/com/acmeair/mongo/services/FlightServiceImpl.java:FlightServiceImpl:getFlightBySegment,acmeair/src/main/java/com/acmeair/service/FlightService.java:FlightService:getFlightByAirportsAndDepartureDate
1589149633575,Unknown,FlightService returns to FlightsREST,acmeair/src/main/java/com/acmeair/service/FlightService.java:FlightService:getFlightByAirportsAndDepartureDate,acmeair/src/main/java/com/acmeair/web/FlightsREST.java:FlightsREST:getTripFlights
1589149633575,Unknown,FlightsREST returns to RESTCookieSessionFilter,acmeair/src/main/java/com/acmeair/web/FlightsREST.java:FlightsREST:getTripFlights,acmeair/src/main/java/com/acmeair/web/RESTCookieSessionFilter.java:RESTCookieSessionFilter:doFilter
1589149633578,Unknown,RESTCookieSessionFilter returns to Root,acmeair/src/main/java/com/acmeair/web/RESTCookieSessionFilter.java:RESTCookieSessionFilter:doFilter,<None>:Root:<None>
